latitude,longitude,depth,time,year,month,day,hour,magnitude,rolling_mean_magnitude,time_since_last_hour,closest_eq_time,closest_eq_index,distance_to_closest_eq,time_diff_to_closest_eq
41.2263,78.7773,10.0,2024-02-26 17:46:03.063000+00:00,2024,2,26,17,4.4,4.42,0.16512083333333333,2024-01-22 18:09:04.340000+00:00,280,10.848793222501428,34.98401299768519
41.2807,78.4912,9.952,2024-02-26 14:20:28.301000+00:00,2024,2,26,14,4.3,4.38,3.426322777777778,2024-01-22 18:09:04.340000+00:00,280,13.909266746912063,34.84124954861111
41.218,78.8171,10.0,2024-02-26 12:28:42.849000+00:00,2024,2,26,12,4.1,4.34,1.8626255555555555,2024-01-22 18:09:04.340000+00:00,280,14.309457747885054,34.76364015046296
41.2768,78.4605,10.0,2024-02-26 01:28:52.154000+00:00,2024,2,26,1,3.9,4.3100000000000005,10.997415277777778,2024-01-22 18:09:04.340000+00:00,280,16.369555957894995,34.305414513888884
41.2117,78.4315,10.0,2024-02-25 04:15:00.431000+00:00,2024,2,25,4,5.4,4.38,21.231034166666667,2024-01-22 18:09:04.340000+00:00,280,19.261407443016385,33.420788090277775
41.0638,78.5847,10.0,2024-02-23 22:58:56.073000+00:00,2024,2,23,22,5.0,4.44,29.26787722222222,2024-01-22 18:09:04.340000+00:00,280,22.06545895182868,32.20129320601852
41.1736,78.543,10.0,2024-02-23 10:33:06.769000+00:00,2024,2,23,10,4.0,4.4,12.430362222222222,2024-01-22 18:09:04.340000+00:00,280,13.002691488860384,31.68336144675926
41.1658,78.6433,10.0,2024-02-23 04:08:34.398000+00:00,2024,2,23,4,4.4,4.41,6.408991944444444,2024-01-22 18:09:04.340000+00:00,280,10.000746388253653,31.416320115740742
41.3498,78.7227,4.88,2024-02-21 18:26:44.304000+00:00,2024,2,21,18,4.5,4.44,33.697248333333334,2024-01-22 18:09:04.340000+00:00,280,11.957378838444246,30.012268101851852
40.441,77.667,10.0,2024-02-21 07:03:57.973000+00:00,2024,2,21,7,4.5,4.45,11.379536388888889,1961-04-01 15:18:28.370000+00:00,2158,66.51917319642808,22970.656592627314
41.9929,84.0802,10.0,2024-02-19 03:08:15.669000+00:00,2024,2,19,3,4.6,4.470000000000001,51.92841777777778,2012-06-29 21:07:33.860000+00:00,744,167.83917835697517,4251.250483900463
41.4302,78.955,2.959,2024-02-18 08:59:14.381000+00:00,2024,2,18,8,4.4,4.48,18.150357777777778,1969-02-11 22:08:54.870000+00:00,2129,29.78503894831544,20094.451614710648
41.2675,78.7249,2.293,2024-02-15 06:28:54+00:00,2024,2,15,6,4.2,4.49,74.50566138888888,2024-01-22 18:09:04.340000+00:00,280,6.105532228064167,23.513769212962963
41.1342,78.4597,10.0,2024-02-15 04:32:57.423000+00:00,2024,2,15,4,4.3,4.53,1.9323825000000001,2024-01-22 18:09:04.340000+00:00,280,21.132761760253292,23.433253275462963
41.3229,78.7906,10.0,2024-02-15 03:52:40.420000+00:00,2024,2,15,3,4.5,4.44,0.6713897222222223,2024-01-22 18:09:04.340000+00:00,280,13.687418619955368,23.405278703703704
41.1494,78.5313,10.0,2024-02-15 03:41:35.662000+00:00,2024,2,15,3,4.5,4.390000000000001,0.184655,2024-01-22 18:09:04.340000+00:00,280,15.633915165354997,23.39758474537037
41.3413,78.7151,10.0,2024-02-12 15:52:52.039000+00:00,2024,2,12,15,4.1,4.4,59.8121175,2024-01-22 18:09:04.340000+00:00,280,10.82404139893385,20.90541318287037
